condition,seed,step,completion,collision,timeout,q_policy,q_oracle
maximin,900103,1950000,0.824,0.168,0.008,0.3193,0.4503
maximin,900103,2000000,0.812,0.18,0.008,0.4774,0.2625
maximin,900104,1250000,0.748,0.233,0.019,0.4588,0.5053
maximin,900104,1300000,0.799,0.167,0.034,0.2524,0.3972
maximin,900104,1350000,0.696,0.257,0.046,0.4313,0.3765
maximin,900104,1400000,0.865,0.117,0.018,0.5624,0.449
maximin,900104,1450000,0.816,0.183,0.001,0.3557,0.2795
maximin,900104,1500000,0.81,0.172,0.018,0.5925,0.3112
maximin,900104,1550000,0.829,0.132,0.04,0.5681,0.3653
maximin,900104,1600000,0.847,0.146,0.007,0.5255,0.3736
maximin,900104,1650000,0.718,0.261,0.02,0.4649,0.3878
maximin,900104,1700000,0.649,0.264,0.087,0.4669,0.4667
maximin,900104,1750000,0.859,0.122,0.019,0.524,0.554
maximin,900104,1800000,0.579,0.392,0.029,0.101,0.3248
maximin,900104,1850000,0.438,0.383,0.179,0.1458,0.2094
maximin,900104,1900000,0.599,0.297,0.104,0.2772,0.3077
maximin,900104,1950000,0.485,0.392,0.124,0.1645,0.2805
maximin,900104,2000000,0.646,0.26,0.094,0.2783,0.2778
maximin,910101,1250000,0.85,0.143,0.007,0.5985,0.3497
maximin,910101,1300000,0.856,0.121,0.022,0.4616,0.3469
maximin,910101,1350000,0.8,0.19,0.01,0.4569,0.4712
maximin,910101,1400000,0.807,0.161,0.031,0.5394,0.4535
maximin,910101,1450000,0.756,0.22,0.024,0.4545,0.3752
maximin,910101,1500000,0.774,0.197,0.029,0.4694,0.4451
maximin,910101,1550000,0.83,0.156,0.014,0.5543,0.5642
maximin,910101,1600000,0.703,0.28,0.017,0.2496,0.5062
maximin,910101,1650000,0.808,0.162,0.03,0.5958,0.6856
maximin,910101,1700000,0.821,0.165,0.014,0.6153,0.8443
maximin,910101,1750000,0.885,0.099,0.015,0.58,0.4395
maximin,910101,1800000,0.884,0.107,0.009,0.5585,0.572
maximin,910101,1850000,0.884,0.112,0.003,0.5336,0.534
maximin,910101,1900000,0.839,0.14,0.021,0.575,0.4619
maximin,910101,1950000,0.808,0.159,0.033,0.4809,0.6865
maximin,910101,2000000,0.808,0.148,0.044,0.5784,0.5505
maximin,910102,1250000,0.699,0.226,0.075,0.4501,0.4277
maximin,910102,1300000,0.513,0.414,0.073,0.3089,0.3798
maximin,910102,1350000,0.529,0.416,0.056,0.1375,0.2789
maximin,910102,1400000,0.501,0.451,0.048,0.0262,0.6033
maximin,910102,1450000,0.503,0.453,0.043,0.1824,0.563
maximin,910102,1500000,0.563,0.389,0.048,0.3002,0.4815
maximin,910102,1550000,0.608,0.386,0.006,0.2521,0.3883
maximin,910102,1600000,0.651,0.312,0.037,0.2582,0.3471
maximin,910102,1650000,0.758,0.242,0.0,0.4081,0.3695
maximin,910102,1700000,0.766,0.234,0.0,0.5096,0.3841
maximin,910102,1750000,0.602,0.398,0.0,0.2322,0.2589
maximin,910102,1800000,0.475,0.525,0.0,0.0614,0.2618
maximin,910102,1850000,0.474,0.514,0.012,0.0619,0.3139
maximin,910102,1900000,0.46,0.469,0.071,0.1465,0.3314
maximin,910102,1950000,0.487,0.451,0.062,0.1515,0.3971
maximin,910102,2000000,0.515,0.466,0.019,0.3187,0.4394
maximin,920101,1250000,0.8,0.189,0.011,0.5497,0.2221
maximin,920101,1300000,0.86,0.137,0.003,0.4995,0.424
maximin,920101,1350000,0.87,0.129,0.001,0.5056,0.3262
maximin,920101,1400000,0.885,0.11,0.004,0.5428,0.2379
maximin,920101,1450000,0.889,0.111,0.0,0.4104,0.4509
maximin,920101,1500000,0.799,0.199,0.001,0.3723,0.3669
maximin,920101,1550000,0.768,0.222,0.01,0.4433,0.5359
maximin,920101,1600000,0.802,0.197,0.001,0.4078,0.4314
maximin,920101,1650000,0.803,0.196,0.001,0.4532,0.4052
maximin,920101,1700000,0.864,0.135,0.001,0.5885,0.3825
maximin,920101,1750000,0.894,0.106,0.0,0.5614,0.373
maximin,920101,1800000,0.859,0.141,0.0,0.5224,0.3594
maximin,920101,1850000,0.897,0.103,0.0,0.5705,0.5182
maximin,920101,1900000,0.9,0.1,0.0,0.5161,0.3898
maximin,920101,1950000,0.872,0.128,0.0,0.5491,0.4878
maximin,920101,2000000,0.798,0.198,0.003,0.3112,0.3293
maximin,920102,1250000,0.542,0.423,0.035,0.1066,0.3937
maximin,920102,1300000,0.475,0.462,0.062,-0.1496,0.4792
maximin,920102,1350000,0.633,0.35,0.017,0.3035,0.6046
maximin,920102,1400000,0.598,0.398,0.004,0.348,0.3817
maximin,920102,1450000,0.765,0.216,0.019,0.3199,0.4231
maximin,920102,1500000,0.762,0.238,0.0,0.3497,0.412
maximin,920102,1550000,0.76,0.24,0.0,0.4143,0.3838
maximin,920102,1600000,0.707,0.293,0.0,0.2605,0.4028
maximin,920102,1650000,0.645,0.351,0.004,0.3825,0.402
maximin,920102,1700000,0.627,0.365,0.008,0.2039,0.3407
maximin,920102,1750000,0.637,0.363,0.0,0.225,0.317
maximin,920102,1800000,0.797,0.203,0.0,0.4036,0.2862
maximin,920102,1850000,0.704,0.296,0.0,0.4795,0.2997
maximin,920102,1900000,0.756,0.244,0.0,0.3868,0.3277
maximin,920102,1950000,0.756,0.244,0.0,0.5119,0.2124
maximin,920102,2000000,0.704,0.296,0.0,0.2287,0.2617
maximin,920103,1250000,0.882,0.109,0.009,0.6023,0.505
maximin,920103,1300000,0.821,0.177,0.003,0.5222,0.5051
maximin,920103,1350000,0.853,0.14,0.007,0.5454,0.4339
maximin,920103,1400000,0.804,0.184,0.012,0.4044,0.4614
maximin,920103,1450000,0.864,0.132,0.004,0.5608,0.4787
maximin,920103,1500000,0.803,0.183,0.014,0.4915,0.4087
maximin,920103,1550000,0.661,0.308,0.031,0.4799,0.3949
maximin,920103,1600000,0.833,0.146,0.021,0.5731,0.461
maximin,920103,1650000,0.831,0.158,0.011,0.4754,0.4313
maximin,920103,1700000,0.803,0.188,0.008,0.5204,0.3335
maximin,920103,1750000,0.853,0.131,0.016,0.4616,0.3505
maximin,920103,1800000,0.785,0.209,0.007,0.5185,0.3354
maximin,920103,1850000,0.862,0.136,0.001,0.4637,0.3277
maximin,920103,1900000,0.895,0.102,0.003,0.4851,0.4296
maximin,920103,1950000,0.868,0.132,0.0,0.4981,0.4227
maximin,920103,2000000,0.873,0.121,0.006,0.5702,0.4414
maximin,920104,1250000,0.345,0.526,0.128,-0.0809,0.5011
maximin,920104,1300000,0.665,0.331,0.004,0.4095,0.1856
maximin,920104,1350000,0.742,0.256,0.003,0.3734,0.2126
maximin,920104,1400000,0.795,0.205,0.0,0.461,0.1438
maximin,920104,1450000,0.856,0.144,0.0,0.547,0.1972
maximin,920104,1500000,0.872,0.128,0.0,0.5558,0.265
maximin,920104,1550000,0.814,0.186,0.0,0.4383,0.344
maximin,920104,1600000,0.855,0.145,0.0,0.5033,0.352
maximin,920104,1650000,0.839,0.161,0.0,0.5104,0.3084
maximin,920104,1700000,0.806,0.194,0.0,0.4613,0.2282
maximin,920104,1750000,0.767,0.233,0.0,0.4987,0.2409
maximin,920104,1800000,0.838,0.162,0.0,0.552,0.2715
maximin,920104,1850000,0.806,0.194,0.0,0.448,-0.1626
maximin,920104,1900000,0.777,0.218,0.004,0.3441,-0.2455
maximin,920104,1950000,0.727,0.272,0.001,0.4814,0.4357
maximin,920104,2000000,0.814,0.186,0.0,0.3861,0.478
maximin,920105,1250000,0.746,0.226,0.029,0.5245,0.453
maximin,920105,1300000,0.755,0.245,0.0,0.5168,0.5079
maximin,920105,1350000,0.681,0.283,0.036,0.3889,0.4886
maximin,920105,1400000,0.574,0.396,0.029,0.2136,0.3529
maximin,920105,1450000,0.62,0.358,0.021,0.4298,0.4316
maximin,920105,1500000,0.725,0.266,0.009,0.3376,0.5041
maximin,920105,1550000,0.688,0.287,0.026,0.4239,0.4928
maximin,920105,1600000,0.766,0.234,0.0,0.5817,0.3983
maximin,920105,1650000,0.727,0.273,0.0,0.4729,0.389
maximin,920105,1700000,0.758,0.241,0.001,0.3193,0.4164
maximin,920105,1750000,0.724,0.252,0.024,0.3666,0.407
maximin,920105,1800000,0.73,0.25,0.021,0.5362,0.3423
maximin,920105,1850000,0.816,0.18,0.004,0.3785,0.6836
maximin,920105,1900000,0.654,0.312,0.033,0.2666,0.6013
maximin,920105,1950000,0.68,0.298,0.022,0.3687,0.4948
maximin,920105,2000000,0.651,0.323,0.026,0.366,0.3087
maximin,920106,1250000,0.73,0.257,0.013,0.3576,0.5909
maximin,920106,1300000,0.786,0.214,0.0,0.4975,0.4797
maximin,920106,1350000,0.755,0.239,0.006,0.4734,0.5462
maximin,920106,1400000,0.748,0.244,0.008,0.4841,0.5604
maximin,920106,1450000,0.764,0.235,0.001,0.4915,0.0505
maximin,920106,1500000,0.812,0.188,0.0,0.4553,0.4722
maximin,920106,1550000,0.708,0.284,0.008,0.4739,0.506
maximin,920106,1600000,0.825,0.171,0.004,0.4224,0.4356
maximin,920106,1650000,0.784,0.214,0.001,0.5148,0.384
maximin,920106,1700000,0.771,0.224,0.006,0.4288,0.3455
maximin,920106,1750000,0.717,0.281,0.001,0.4113,0.4895
maximin,920106,1800000,0.776,0.211,0.013,0.4763,0.4563
maximin,920106,1850000,0.811,0.189,0.0,0.4605,0.7985
maximin,920106,1900000,0.808,0.19,0.001,0.44,0.6038
maximin,920106,1950000,0.783,0.211,0.006,0.3868,0.4744
maximin,920106,2000000,0.747,0.249,0.004,0.1673,0.5139
